År,Model 1,Model 2,Model 3
1981,6.24488427952527,6.48627079562342,8.91128859823833
1982,7.10520088786433,6.99647027839184,7.07794733311934
1983,7.05932939157402,6.92959550858925,9.24297116538176
1984,7.35827644702949,7.32120685819201,9.06541986132915
1985,7.46710787022647,7.2927673456124,7.84884728201425
1986,7.35648765020892,7.07265288058916,7.64225453986923
1987,7.57863795948393,7.43565669390225,7.68913872470282
1988,7.75929109343553,7.57555868568752,7.91743586948195
1989,8.15124687176958,7.82410250972193,8.61672727897665
1990,8.71945425016578,7.9676016860055,7.99915123499514
1991,7.92932508756764,7.80839920256868,7.80919993246798
1992,7.43911777314501,7.11897473442149,8.15328736927189
1993,8.00864489912608,7.78550111485578,8.38101677739842
1994,8.23420328504254,8.19538192912446,8.89183756474093
1995,8.59652327520155,8.96716520557636,7.55996301874999
1996,9.02948212740683,8.89513470892926,8.05782974472487
1997,8.862928071875,8.52997482602767,8.76631505048438
1998,8.49164910962975,8.37790824830755,8.22554796875622
1999,8.86657633846541,9.16908924839113,9.00628396915851
2000,9.12517497809236,8.73423353544255,9.30536214897054
2001,8.81068684701902,8.84934317613564,8.85760648231885
2002,8.16292491455227,8.02129614046414,8.25472215137847
2003,7.9251003331653,8.08107126354899,9.80785062231589
2004,8.25512542084758,8.2657708208889,10.4782658902221
2005,9.4152742848629,9.24845726551401,9.52539129413469
2006,,,
2007,,,
2008,,,
2009,,,
2010,,,
2011,,,
2012,,,
2013,,,
2014,,,
2015,,,
2016,,,
2017,,,
2018,,,
2019,,,
2020,,,
2021,,,
2022,,,
2023,,,
2024,,,
2025,,,
2026,,,
2027,,,
2028,,,
2029,,,
2030,,,
2031,,,
2032,,,
2033,,,
2034,,,
2035,,,
2036,,,
2037,,,
2038,,,
2039,,,
2040,,,
2041,,,
2042,,,
2043,,,
2044,,,
2045,,,
2046,,,
2047,,,
2048,,,
2049,,,
2050,,,
2051,,,
2052,,,
2053,,,
2054,,,
2055,,,
2056,,,
2057,,,
2058,,,
2059,,,
2060,,,
2061,,,
2062,,,
2063,,,
2064,,,
2065,,,
2066,,,
2067,,,
2068,,,
2069,,,
2070,,,
2071,,,
2072,,,
2073,,,
2074,,,
2075,,,
2076,,,
2077,,,
2078,,,
2079,,,
2080,,,
2081,,,
2082,,,
2083,,,
2084,,,
2085,,,
2086,,,
2087,,,
2088,,,
2089,,,
2090,,,
2091,,,
2092,,,
2093,,,
2094,,,
2095,,,
2096,,,
2097,,,
2098,,,
2099,,,
2100,,,
